year;region;sum_mil_tenge;grp;tax_income
2014;Кызылординская область;138079;98,7;57376
2014;Мангистауская область;35284;104,0;101285
2014;Павлодарская область;67712;100,9;74170
2014;Северо-Казахстанская область;96843;105,8;24573
2014;Южно-Казахстанская область;383483;102,3;72844
2014;Восточно-Казахстанская область;179761;102,8;69099
2014;город Нур-Султан;206082;109,4;143954
2014;город Алматы;126411;107,0;284151
2013;Акмолинская область;111976;105,0;36457
2013;Актюбинская область;76044;104,7;71602
2013;Алматинская область;201140;110,7;86706
2013;Атырауская область;31365;104,0;131206
2013;Западно-Казахстанская область;61118;103,3;48878
2013;Жамбылская область;143368;103,3;31651
2013;Карагандинская область;123044;107,5;96871
2013;Костанайская область;95570;110,2;45374
2013;Кызылординская область;120514;104,4;43412
2013;Мангистауская область;36782;105,5;90104
2013;Павлодарская область;64346;100,1;64539
2013;Северо-Казахстанская область;86161;107,7;23320
2013;Южно-Казахстанская область;326129;103,0;66606
2013;Восточно-Казахстанская область;175836;107,3;64490
2013;город Нур-Султан;176672;110,6;121172
2013;город Алматы;97526;114,8;246030
2012;Акмолинская область;100234;94,3;33553
2012;Актюбинская область;69041;107,6;64928
2012;Алматинская область;165576;107,4;76594
2012;Атырауская область;32998;97,7;118140
2012;Западно-Казахстанская область;59248;104,4;43210
2012;Жамбылская область;133637;109,8;29184
2012;Карагандинская область;105504;101,2;89044
2012;Костанайская область;89418;93,5;42031
2012;Кызылординская область;108444;103,2;28194
2012;Мангистауская область;38854;100,9;73180
2012;Павлодарская область;65560;108,1;58457
2012;Северо-Казахстанская область;79219;94,6;21860
2012;Южно-Казахстанская область;295938;104,0;61096
2012;Восточно-Казахстанская область;158671;112,6;58278
2012;город Нур-Султан;206753;114,7;100518
2012;город Алматы;111274;109,6;221493
2011;Акмолинская область;88298;116,2;28533
2011;Актюбинская область;60671;106,5;59069
2011;Алматинская область;147504;109,0;64705
2011;Атырауская область;32321;103,2;109974
2011;Западно-Казахстанская область;55125;104,3;37517
2011;Жамбылская область;106149;113,2;24274
2011;Карагандинская область;88120;106,0;76424
2011;Костанайская область;78981;115,6;37230
2011;Кызылординская область;94423;105,9;21696
2011;Мангистауская область;31838;99,9;65244
2011;Павлодарская область;51415;110,8;51077
2011;Северо-Казахстанская область;70253;116,4;19556
2011;Южно-Казахстанская область;248057;105,7;52765
2011;Восточно-Казахстанская область;133889;107,6;49986
2011;город Нур-Султан;244679;108,0;83445
2011;город Алматы;103132;109,4;199632
2010;Акмолинская область;84893;96,3;22996
2010;Актюбинская область;56178;109,2;54189
2010;Алматинская область;134715;107,6;51868
2010;Атырауская область;31206;112,7;99903
2010;Западно-Казахстанская область;53648;102,6;43519
2010;Жамбылская область;89118;107,6;19145
2010;Карагандинская область;85857;106,4;64289
2010;Костанайская область;79356;101,7;30486
2010;Кызылординская область;82008;103,8;19530
2010;Мангистауская область;33319;107,8;56810
2010;Павлодарская область;41328;106,4;45471
2010;Северо-Казахстанская область;63861;100,8;16291
2010;Южно-Казахстанская область;204792;104,5;43650
2010;Восточно-Казахстанская область;111570;107,2;41590
2010;город Нур-Султан;200183;107,3;69877
2010;город Алматы;134519;110,4;170912
2009;Акмолинская область;62107;107,6;21076
2009;Актюбинская область;46565;103,2;53119
2009;Алматинская область;104601;100,4;40345
2009;Атырауская область;25301;112,2;90204
2009;Западно-Казахстанская область;37568;101,8;48450
2009;Жамбылская область;71537;101,2;14774
2009;Карагандинская область;72989;99,4;59601
2009;Костанайская область;65988;98,1;27312
2009;Кызылординская область;72654;99,3;31788
2009;Мангистауская область;20330;99,1;50878
2009;Павлодарская область;40904;103,7;41907
2009;Северо-Казахстанская область;55310;96,6;15249
2009;Южно-Казахстанская область;182618;104,0;35876
2009;Восточно-Казахстанская область;92695;99,8;39079
2009;город Нур-Султан;216895;95,2;60131
2009;город Алматы;119701;98,4;148885
2008;Акмолинская область;49652;101,9;19842
2008;Актюбинская область;31840;105,5;52826
2008;Алматинская область;79783;103,6;36759
2008;Атырауская область;26451;117,8;82965
2008;Западно-Казахстанская область;34659;103,5;39958
2008;Жамбылская область;56895;108,4;13643
2008;Карагандинская область;54825;99,9;56255
2008;Костанайская область;51883;98,9;26707
2008;Кызылординская область;61635;104,8;20404
2008;Мангистауская область;11629;107,1;48308
2008;Павлодарская область;26724;109,0;40976
2008;Северо-Казахстанская область;45502;105,8;13946
2008;Южно-Казахстанская область;135176;107,9;34490
2008;Восточно-Казахстанская область;68953;100,9;40537
2008;город Нур-Султан;193774;97,9;60724
2008;город Алматы;91060;96,9;160763
